WORD_ID,VOCAB_WORD,WORD_COUNT
0,http,10660
1,use,5019
2,list,4851
3,email,4367
4,get,4200
5,mail,3983
6,one,3907
7,free,3202
8,time,3042
9,work,2883
10,messag,2790
11,make,2784
12,like,2768
13,would,2746
14,peopl,2675
15,inform,2661
16,new,2624
17,receiv,2478
18,pleas,2188
19,busi,2148
20,address,2148
21,click,2145
22,want,2066
23,us,2015
24,need,2005
25,order,1995
26,remov,1967
27,also,1877
28,go,1852
29,send,1832
30,year,1832
31,money,1805
32,file,1791
33,compani,1765
34,system,1709
35,name,1706
36,report,1692
37,wrote,1692
38,way,1680
39,user,1643
40,look,1638
41,chang,1613
42,site,1613
43,day,1603
44,state,1602
45,know,1602
46,program,1571
47,may,1568
48,see,1550
49,call,1536
50,could,1533
51,group,1528
52,even,1503
53,think,1492
54,includ,1491
55,linux,1464
56,first,1456
57,offer,1450
58,take,1412
59,say,1408
60,servic,1393
61,right,1388
62,world,1367
63,tri,1356
64,help,1354
65,find,1342
66,market,1333
67,internet,1333
68,product,1302
69,mani,1271
70,much,1269
71,home,1243
72,said,1228
73,web,1226
74,softwar,1226
75,problem,1222
76,date,1211
77,line,1206
78,spam,1205
79,start,1189
80,check,1188
81,number,1178
82,run,1173
83,good,1171
84,thing,1167
85,link,1147
86,well,1119
87,subject,1107
88,phone,1086
89,interest,1076
90,govern,1067
91,person,1064
92,provid,1046
93,set,1039
94,today,1021
95,come,1017
96,million,1016
97,give,1016
98,best,1016
99,server,1015
100,follow,1012
101,back,1008
102,form,990
103,rate,987
104,month,984
105,everi,979
106,secur,975
107,gener,957
108,price,946
109,url,943
110,still,938
111,comput,925
112,packag,918
113,instal,906
114,avail,901
115,sent,899
116,code,898
117,commun,891
118,life,890
119,version,890
120,read,888
121,sinc,879
122,ad,876
123,grant,875
124,maintain,874
125,sponsor,869
126,thank,867
127,network,863
128,two,852
129,credit,852
130,differ,851
131,without,846
132,made,835
133,develop,830
134,within,827
135,support,827
136,week,821
137,write,811
138,save,809
139,realli,807
140,case,803
141,page,801
142,subscript,800
143,someth,797
144,irish,796
145,current,792
146,un,790
147,last,789
148,anyon,788
149,onlin,778
150,complet,776
151,sure,774
152,requir,768
153,card,768
154,seem,768
155,build,767
156,custom,764
157,manag,763
158,never,757
159,de,748
160,ilug,746
161,better,743
162,window,740
163,keep,740
164,special,740
165,ca,736
166,point,736
167,place,735
168,search,734
169,anoth,721
170,per,721
171,found,715
172,actual,712
173,access,712
174,repli,706
175,result,705
176,contact,704
177,question,701
178,part,699
179,base,696
180,listmast,695
181,futur,694
182,issu,693
183,old,692
184,put,691
185,wish,687
186,next,680
187,long,678
188,let,674
189,countri,672
190,live,671
191,must,667
192,hour,667
193,end,664
194,invest,662
195,mean,661
196,easi,661
197,process,661
198,unsubscrib,660
199,lot,656
200,unit,653
201,great,649
202,got,645
203,guarante,644
204,nation,642
205,show,642
206,account,642
207,technolog,642
208,might,634
209,power,632
210,releas,629
211,legal,628
212,cost,623
213,data,621
214,allow,617
215,sourc,616
216,success,615
217,news,614
218,engin,607
219,possibl,606
220,trade,604
221,profession,603
222,idea,601
223,increas,601
224,post,601
225,ask,598
226,pay,598
227,advertis,598
228,public,596
229,error,592
230,open,590
231,websit,588
232,test,588
233,opportun,587
234,real,585
235,sell,578
236,ever,576
237,less,574
238,respons,573
239,insur,573
240,plan,571
241,design,569
242,tell,567
243,visit,564
244,creat,564
245,word,562
246,buy,561
247,howev,559
248,reason,558
249,prefer,558
250,heaven,556
251,effect,555
252,someon,555
253,aug,553
254,cd,548
255,sale,547
256,law,547
257,improv,544
258,applic,544
259,around,543
260,instead,543
261,fact,539
262,least,537
263,box,536
264,dollar,534
265,ye,532
266,rpm,531
267,fix,530
268,american,530
269,job,526
270,copi,525
271,simpl,518
272,probabl,518
273,origin,513
274,cours,513
275,believ,512
276,fax,507
277,contain,507
278,move,504
279,type,503
280,happen,502
281,though,501
282,friend,501
283,littl,499
284,total,496
285,financi,494
286,welcom,491
287,share,491
288,request,490
289,exampl,488
290,add,488
291,els,486
292,client,486
293,abl,486
294,perl,483
295,format,483
296,anyth,481
297,valu,481
298,simpli,477
299,alway,477
300,alreadi,476
301,high,476
302,protect,474
303,fill,474
304,full,473
305,cash,472
306,mailto,470
307,feel,470
308,directori,469
309,import,468
